x1,y1,x2,y2
5.6725,0.381665,5.6899,0.310102
5.6899,0.310102,5.6725,0.381665
5.37538,0.101515,5.6899,0.310102
5.6899,0.310102,5.37538,0.101515
2.85702,1.34298,3.7,0.5
3.7,0.5,2.85702,1.34298
4.13845,0.253789,3.7,0.5
3.7,0.5,4.13845,0.253789
5.28936,5.28936,4.84012,5.44216
4.84012,5.44216,5.28936,5.28936
3.68826,5.17054,4.84012,5.44216
4.84012,5.44216,3.68826,5.17054
5.87575,4.09848,5.28936,5.28936
5.28936,5.28936,5.87575,4.09848
5.37538,0.101515,4.13845,0.253789
4.13845,0.253789,5.37538,0.101515
0.75,3.6,1.3,4.7
1.3,4.7,0.75,3.6
2.7,5.16667,1.3,4.7
1.3,4.7,2.7,5.16667
0.6,3,0.6,1.2
0.6,1.2,0.6,3
0.702944,0.702944,0.6,1.2
0.6,1.2,0.702944,0.702944
2.85702,1.34298,1.87591,0.790357
1.87591,0.790357,2.85702,1.34298
0.702944,0.702944,1.87591,0.790357
1.87591,0.790357,0.702944,0.702944
5.02455,2.52169,5.6725,0.381665
5.6725,0.381665,5.02455,2.52169
5.8618,3.87639,5.87575,4.09848
5.87575,4.09848,5.8618,3.87639
3.68826,5.17054,2.7,5.16667
2.7,5.16667,3.68826,5.17054
3.70274,5.13288,3.68826,5.17054
3.68826,5.17054,3.70274,5.13288
4.5,2.6,3.30674,2.6
3.30674,2.6,4.5,2.6
3.41806,3.33032,3.30674,2.6
3.30674,2.6,3.41806,3.33032
3.04058,2,3.30674,2.6
3.30674,2.6,3.04058,2
0.75,3.6,0.6,3
0.6,3,0.75,3.6
3.73212,4.1775,3.41806,3.33032
3.41806,3.33032,3.73212,4.1775
3.70274,5.13288,3.73212,4.1775
3.73212,4.1775,3.70274,5.13288
3.04058,2,2.85702,1.34298
2.85702,1.34298,3.04058,2
4.9945,2.52967,4.5,2.6
4.5,2.6,4.9945,2.52967
5.02455,2.52169,4.9945,2.52967
4.9945,2.52967,5.02455,2.52169
5.8618,3.87639,5.02455,2.52169
5.02455,2.52169,5.8618,3.87639
